#assembly	accession	start	stop	name	query	e-value	score	bias
GCF_002876045.1	NZ_MCZE01000009.1	102676	100964	lcl|ORF127_NZ_MCZE01000009.1:102676:100964	TIGR01865.1	0.016	11.5	0.4
GCF_003993725.1	NZ_QFAJ01000048.1	91312	91968	lcl|ORF56_NZ_QFAJ01000048.1:91312:91968	TIGR01865.1	2.1e-05	21.9	0.0
GCF_002943125.1	NZ_PTPV01000017.1	5174	4689	lcl|ORF57_NZ_PTPV01000017.1:5174:4689	TIGR01865.1	0.0077	12.0	0.0
GCF_009834995.1	NZ_QUXI01000002.1	284926	284267	lcl|ORF397_NZ_QUXI01000002.1:284926:284267	TIGR01865.1	0.0011	15.9	0.0
GCF_001006125.1	NZ_JYJR01000037.1	157209	156193	lcl|ORF395_NZ_JYJR01000037.1:157209:156193	TIGR01865.1	1.5e-05	21.6	0.0
GCF_004208995.1	NZ_SGSN01000200.1	2497	2030	lcl|ORF25_NZ_SGSN01000200.1:2497:2030	TIGR01865.1	6.9e-06	22.2	0.3
GCF_004208995.1	NZ_SGSN01000200.1	2497	2030	lcl|ORF25_NZ_SGSN01000200.1:2497:2030	TIGR03031.1	0.0024	13.8	0.0
GCF_009858505.1	NZ_SIVL01000005.1	1060	554	lcl|ORF136_NZ_SIVL01000005.1:1060:554	TIGR01865.1	0.0016	14.5	0.2
GCF_009393715.1	NZ_RYBN01000035.1	10228	10881	lcl|ORF5_NZ_RYBN01000035.1:10228:10881	TIGR01865.1	0.00022	17.8	0.1
GCF_004345325.1	NZ_SLVJ01000023.1	46955	45915	lcl|ORF41_NZ_SLVJ01000023.1:46955:45915	TIGR01865.1	9.9e-07	25.1	1.3
GCF_900077795.1	NZ_FKGR01000001.1	180095	179082	lcl|ORF1426_NZ_FKGR01000001.1:180095:179082	TIGR01865.1	0.0022	14.6	0.0
GCF_002212025.1	NZ_CP022103.1	1479405	1478770	lcl|ORF1969_NZ_CP022103.1:1479405:1478770	TIGR03031.1	0.023	10.6	0.0
GCF_900093165.1	NZ_FLXC01000001.1	913149	912460	lcl|ORF1022_NZ_FLXC01000001.1:913149:912460	TIGR01865.1	0.00052	17.0	0.1
GCF_902387905.1	NZ_CABMNR010000001.1	605655	606047	lcl|ORF109_NZ_CABMNR010000001.1:605655:606047	TIGR01865.1	0.0016	14.8	0.4
GCF_004920815.1	NZ_QFHL01000003.1	400947	405065	lcl|ORF51_NZ_QFHL01000003.1:400947:405065	TIGR03031.1	0	1158.5	30.0
GCF_009729775.1	NZ_WOET01000057.1	1573	1181	lcl|ORF7_NZ_WOET01000057.1:1573:1181	TIGR01865.1	0.0075	12.9	0.2
GCF_002739015.1	NZ_MQXC01000065.1	3332	2667	lcl|ORF3_NZ_MQXC01000065.1:3332:2667	TIGR01865.1	6.6e-05	20.1	0.0
GCF_000223275.1	NZ_AFUV01000021.1	7355	5403	lcl|ORF47_NZ_AFUV01000021.1:7355:5403	TIGR01865.1	4e-183	607.8	9.6
GCF_013256075.1	NZ_CP053898.1	1486458	1486820	lcl|ORF222_NZ_CP053898.1:1486458:1486820	TIGR01865.1	0.015	11.3	0.3
GCF_003611465.1	NZ_RAXV01000021.1	51728	50655	lcl|ORF46_NZ_RAXV01000021.1:51728:50655	TIGR01865.1	3.8e-06	23.0	0.3
GCF_001124705.1	NZ_CPYE01000005.1	104797	104468	lcl|ORF95_NZ_CPYE01000005.1:104797:104468	TIGR03031.1	0.014	11.4	0.1
GCF_003244885.1	NZ_LXYA01000197.1	14793	14128	lcl|ORF30_NZ_LXYA01000197.1:14793:14128	TIGR01865.1	0.00018	18.5	0.0
GCF_000815185.1	NZ_CP010409.1	1019073	1019732	lcl|ORF238_NZ_CP010409.1:1019073:1019732	TIGR01865.1	0.0012	15.9	0.0
GCF_000738765.1	NZ_JPQA01000003.1	263008	261995	lcl|ORF462_NZ_JPQA01000003.1:263008:261995	TIGR01865.1	0.00026	17.8	0.0
GCF_009899955.1	NZ_WTTU01000026.1	9369	10004	lcl|ORF1_NZ_WTTU01000026.1:9369:10004	TIGR01865.1	1e-07	28.2	0.4
GCF_009899955.1	NZ_WTTU01000026.1	18161	18688	lcl|ORF17_NZ_WTTU01000026.1:18161:18688	TIGR01865.1	3.4e-06	23.1	0.6
GCF_009899955.1	NZ_WTTU01000152.1	2602	3693	lcl|ORF3_NZ_WTTU01000152.1:2602:3693	TIGR01865.1	3.7e-06	23.0	0.2
GCF_009899955.1	NZ_WTTU01000012.1	3199	3594	lcl|ORF11_NZ_WTTU01000012.1:3199:3594	TIGR01865.1	0.0019	14.1	0.0
GCF_002892965.1	NZ_POSM01000008.1	147919	148296	lcl|ORF50_NZ_POSM01000008.1:147919:148296	TIGR01865.1	3.2e-08	30.3	0.1
GCF_013248875.1	NZ_JABRVR010000002.1	1943460	1944521	lcl|ORF295_NZ_JABRVR010000002.1:1943460:1944521	TIGR01865.1	9.8e-07	25.4	0.6
GCF_001954985.1	NZ_MODK01000048.1	18415	18807	lcl|ORF16_NZ_MODK01000048.1:18415:18807	TIGR01865.1	0.0087	12.6	0.1
GCF_900234485.1	NZ_LT960960.1	92719	93375	lcl|ORF111_NZ_LT960960.1:92719:93375	TIGR01865.1	2e-05	21.9	0.0
GCF_003295455.1	NZ_QNJG01000076.1	16178	16867	lcl|ORF18_NZ_QNJG01000076.1:16178:16867	TIGR01865.1	2.3e-05	21.6	0.0
GCF_002993645.1	NZ_PVOL01000019.1	44609	44989	lcl|ORF58_NZ_PVOL01000019.1:44609:44989	TIGR01865.1	0.0016	14.9	0.9
GCF_000813475.1	NZ_JWJP01000025.1	117234	118019	lcl|ORF28_NZ_JWJP01000025.1:117234:118019	TIGR03031.1	0.0063	13.2	1.1
GCF_002206605.1	NZ_NAVE01000017.1	366940	367263	lcl|ORF163_NZ_NAVE01000017.1:366940:367263	TIGR01865.1	6.1	3.2	9.7
GCF_000590075.1	NZ_CM002673.1	1955502	1954846	lcl|ORF5543_NZ_CM002673.1:1955502:1954846	TIGR01865.1	1.8e-05	22.0	0.0
GCF_000377405.1	NZ_KB905023.1	214701	214120	lcl|ORF467_NZ_KB905023.1:214701:214120	TIGR01865.1	0.0028	13.9	0.0
GCF_002785785.1	NZ_NEES01000038.1	147002	147325	lcl|ORF110_NZ_NEES01000038.1:147002:147325	TIGR01865.1	6.6	3.2	9.7
GCF_900380065.1	NZ_ORZH01000164.1	27426	28082	lcl|ORF7_NZ_ORZH01000164.1:27426:28082	TIGR01865.1	1.5e-05	21.9	0.0
GCF_009939535.1	NZ_JAACKH010000023.1	9519	8338	lcl|ORF23_NZ_JAACKH010000023.1:9519:8338	TIGR03031.1	6.8e-125	414.7	23.0
GCF_009939535.1	NZ_JAACKH010000023.1	7364	4905	lcl|ORF10_NZ_JAACKH010000023.1:7364:4905	TIGR03031.1	4.2e-123	408.8	17.0
GCF_001661605.1	NZ_LYRQ01000037.1	41487	39949	lcl|ORF29_NZ_LYRQ01000037.1:41487:39949	TIGR01865.1	6.2e-06	22.5	0.5
GCF_002858075.1	NZ_PKBC01000026.1	7708	6527	lcl|ORF22_NZ_PKBC01000026.1:7708:6527	TIGR03031.1	6.9e-125	414.7	23.0
GCF_002858075.1	NZ_PKBC01000026.1	5553	3094	lcl|ORF10_NZ_PKBC01000026.1:5553:3094	TIGR03031.1	4.2e-123	408.8	17.0
GCF_010211765.1	NZ_PDWO01000020.1	16132	16779	lcl|ORF14_NZ_PDWO01000020.1:16132:16779	TIGR01865.1	0.0014	15.3	0.0
GCF_013186005.1	NZ_JABAGU010000001.1	2307422	2306376	lcl|ORF1100_NZ_JABAGU010000001.1:2307422:2306376	TIGR01865.1	9.3e-08	28.2	0.2
GCF_001400605.1	NZ_LJQZ01000111.1	61848	62492	lcl|ORF15_NZ_LJQZ01000111.1:61848:62492	TIGR01865.1	0.082	9.9	0.2
GCF_004364445.1	NZ_SOCZ01000007.1	102530	103882	lcl|ORF91_NZ_SOCZ01000007.1:102530:103882	TIGR01865.1	0.00055	16.5	0.4
GCF_011066275.1	NZ_JAAMNW010000007.1	207163	206147	lcl|ORF228_NZ_JAAMNW010000007.1:207163:206147	TIGR01865.1	0.00021	18.0	0.0
GCF_000006725.1	NC_002488.3	1818101	1818715	lcl|ORF1241_NC_002488.3:1818101:1818715	TIGR01865.1	0.00032	16.5	0.0
GCF_000006725.1	NC_002488.3	1693284	1693601	lcl|ORF297_NC_002488.3:1693284:1693601	TIGR01865.1	0.0068	12.0	0.0
GCF_000007245.1	NC_004556.1	1091269	1090709	lcl|ORF1811_NC_004556.1:1091269:1090709	TIGR01865.1	0.00018	17.1	0.0
GCF_000007165.1	NC_003919.1	3022750	3023406	lcl|ORF2036_NC_003919.1:3022750:3023406	TIGR01865.1	2.1e-05	21.9	0.0
GCF_000007165.1	NC_003919.1	3293860	3293330	lcl|ORF4269_NC_003919.1:3293860:3293330	TIGR01865.1	0.36	7.9	2.6
GCF_000007145.1	NC_003902.1	2892708	2893364	lcl|ORF716_NC_003902.1:2892708:2893364	TIGR01865.1	1.9e-05	22.0	0.0
GCF_000007385.1	NC_006834.1	2120260	2119571	lcl|ORF7210_NC_006834.1:2120260:2119571	TIGR01865.1	2.6e-05	21.6	0.0
GCF_000008325.1	NC_002977.6	2781758	2782348	lcl|ORF2327_NC_002977.6:2781758:2782348	TIGR01865.1	1.8e-05	21.4	0.0
GCF_000009365.1	NC_008260.1	984168	984728	lcl|ORF178_NC_008260.1:984168:984728	TIGR01865.1	0.0017	14.3	0.0
GCF_000009165.1	NC_007508.1	3142242	3142898	lcl|ORF806_NC_007508.1:3142242:3142898	TIGR01865.1	2.1e-05	21.9	0.0
GCF_000010025.1	NC_007705.1	2100359	2099670	lcl|ORF4561_NC_007705.1:2100359:2099670	TIGR01865.1	2.6e-05	21.6	0.0
GCF_000011605.1	NC_004547.2	3877588	3876890	lcl|ORF4043_NC_004547.2:3877588:3876890	TIGR01865.1	0.0016	14.9	0.5
GCF_000011805.1	NC_006841.2	357797	358123	lcl|ORF420_NC_006841.2:357797:358123	TIGR01865.1	0.018	11.1	0.0
GCF_000012105.1	NC_007086.1	2018509	2017853	lcl|ORF5814_NC_007086.1:2018509:2017853	TIGR01865.1	1.9e-05	22.0	0.0
GCF_000012205.1	NC_005773.3	472777	472133	lcl|ORF7053_NC_005773.3:472777:472133	TIGR01865.1	0.083	9.9	0.2
GCF_000012245.1	NC_007005.1	457695	457048	lcl|ORF5971_NC_007005.1:457695:457048	TIGR01865.1	0.013	12.5	0.0
GCF_000012445.1	NC_007492.2	5227672	5228322	lcl|ORF2554_NC_007492.2:5227672:5228322	TIGR01865.1	0.01	13.1	0.1
GCF_000013905.1	NC_007969.1	1103572	1104537	lcl|ORF598_NC_007969.1:1103572:1104537	TIGR01865.1	9.4e-07	24.7	1.7
GCF_000012985.1	NC_007645.1	4561789	4561319	lcl|ORF5318_NC_007645.1:4561789:4561319	TIGR01865.1	1.4e-05	22.4	0.2
GCF_000012985.1	NC_007645.1	5639859	5640419	lcl|ORF898_NC_007645.1:5639859:5640419	TIGR01865.1	3.3e-05	21.1	0.0
GCF_000012985.1	NC_007645.1	382033	381488	lcl|ORF5973_NC_007645.1:382033:381488	TIGR01865.1	0.0048	14.0	0.0
GCF_000013665.1	NC_007912.1	4094022	4093441	lcl|ORF2739_NC_007912.1:4094022:4093441	TIGR01865.1	7.1e-05	19.2	0.0
GCF_000014225.1	NC_008228.1	4935980	4934466	lcl|ORF3509_NC_008228.1:4935980:4934466	TIGR01865.1	4.7e-06	23.1	2.8
GCF_000014225.1	NC_008228.1	4877297	4877872	lcl|ORF1978_NC_008228.1:4877297:4877872	TIGR01865.1	8.6e-06	22.3	0.0
GCF_000014785.1	NC_008340.1	3149713	3150267	lcl|ORF1489_NC_008340.1:3149713:3150267	TIGR01865.1	0.001	15.5	0.0
GCF_000014685.1	NC_008321.1	2046154	2047731	lcl|ORF1003_NC_008321.1:2046154:2047731	TIGR01865.1	0.0014	14.8	0.2
GCF_000015845.1	NC_009052.1	2460902	2462080	lcl|ORF1771_NC_009052.1:2460902:2462080	TIGR01865.1	3.7e-07	26.9	0.2
GCF_000014805.1	NC_008570.1	1576561	1577622	lcl|ORF1330_NC_008570.1:1576561:1577622	TIGR01865.1	0.012	12.4	0.0
GCF_000015585.1	NC_008789.1	2498945	2499529	lcl|ORF1796_NC_008789.1:2498945:2499529	TIGR01865.1	1.6e-05	21.2	0.0
GCF_000015365.1	NC_008740.1	2133598	2131916	lcl|ORF3893_NC_008740.1:2133598:2131916	TIGR01865.1	0.017	11.8	0.0
GCF_000016065.1	NC_009092.1	67105	68775	lcl|ORF739_NC_009092.1:67105:68775	TIGR01865.1	0.038	10.2	0.0
GCF_000016585.1	NC_009438.1	3392242	3390857	lcl|ORF3335_NC_009438.1:3392242:3390857	TIGR01865.1	0.00067	15.9	0.3
GCF_000017325.1	NC_009665.1	2666859	2665681	lcl|ORF3174_NC_009665.1:2666859:2665681	TIGR01865.1	3.6e-06	23.5	0.1
GCF_000017665.1	NC_009778.1	3400232	3400744	lcl|ORF2264_NC_009778.1:3400232:3400744	TIGR01865.1	4.8e-05	20.0	0.0
GCF_000017665.1	NC_009778.1	3378431	3379447	lcl|ORF2259_NC_009778.1:3378431:3379447	TIGR01865.1	0.00019	18.0	0.0
GCF_000018025.1	NC_009831.1	2737785	2736661	lcl|ORF3273_NC_009831.1:2737785:2736661	TIGR01865.1	2.3e-07	27.5	0.1
GCF_000018285.1	NC_009901.1	2798256	2799401	lcl|ORF426_NC_009901.1:2798256:2799401	TIGR01865.1	1.9e-06	24.4	0.6
GCF_000018765.1	NC_009997.1	2778105	2777005	lcl|ORF3273_NC_009997.1:2778105:2777005	TIGR01865.1	3.4e-06	23.7	0.2
GCF_000019185.1	NC_010334.1	2365958	2367082	lcl|ORF1781_NC_010334.1:2365958:2367082	TIGR01865.1	1.5e-07	28.1	0.1
GCF_000019225.1	NC_010995.1	1838103	1837438	lcl|ORF2445_NC_010995.1:1838103:1837438	TIGR01865.1	0.0012	15.1	0.0
GCF_000019325.1	NC_010513.1	1140687	1140073	lcl|ORF1392_NC_010513.1:1140687:1140073	TIGR01865.1	0.00027	16.5	0.0
GCF_000019565.1	NC_011283.1	2905309	2904461	lcl|ORF4783_NC_011283.1:2905309:2904461	TIGR01865.1	0.00089	16.3	0.9
GCF_000019585.2	NC_010717.2	3001105	3001794	lcl|ORF2099_NC_010717.2:3001105:3001794	TIGR01865.1	2.7e-05	21.6	0.0
GCF_000019765.1	NC_010577.1	1101156	1100596	lcl|ORF2175_NC_010577.1:1101156:1100596	TIGR01865.1	0.00018	17.1	0.0
GCF_000020585.3	NC_011138.3	2088725	2088171	lcl|ORF3414_NC_011138.3:2088725:2088171	TIGR01865.1	4.7e-05	19.6	0.0
GCF_000020665.1	NC_011071.1	3099286	3099951	lcl|ORF1939_NC_011071.1:3099286:3099951	TIGR01865.1	0.0004	17.5	0.0
GCF_000020665.1	NC_011071.1	2426897	2426403	lcl|ORF5152_NC_011071.1:2426897:2426403	TIGR03031.1	0.066	10.1	0.0
GCF_000020845.1	NC_011186.1	400653	400979	lcl|ORF58_NC_011186.1:400653:400979	TIGR01865.1	0.0062	12.6	0.0
GCF_000020925.1	NC_011205.1	2169807	2169415	lcl|ORF3688_NC_011205.1:2169807:2169415	TIGR01865.1	0.0085	12.6	0.1
GCF_000021665.1	NC_011663.1	2496920	2498098	lcl|ORF1756_NC_011663.1:2496920:2498098	TIGR01865.1	3.6e-07	26.9	0.2
GCF_000021705.1	NC_012751.1	973857	973393	lcl|ORF1337_NC_012751.1:973857:973393	TIGR01865.1	0.00016	16.9	0.1
GCF_000021705.1	NC_012751.1	1827638	1828102	lcl|ORF794_NC_012751.1:1827638:1828102	TIGR01865.1	0.00016	16.9	0.1
GCF_000021705.1	NC_012751.1	1846745	1846251	lcl|ORF1523_NC_012751.1:1846745:1846251	TIGR01865.1	0.00016	16.9	0.1
GCF_000021705.1	NC_012751.1	1233811	1234335	lcl|ORF423_NC_012751.1:1233811:1234335	TIGR01865.1	0.0002	16.5	0.1
GCF_000021705.1	NC_012751.1	739477	738854	lcl|ORF1028_NC_012751.1:739477:738854	TIGR01865.1	0.00028	16.1	0.1
GCF_000021705.1	NC_012751.1	1643697	1642651	lcl|ORF1235_NC_012751.1:1643697:1642651	TIGR01865.1	0.00062	14.9	0.1
GCF_000021705.1	NC_012751.1	569661	567979	lcl|ORF1378_NC_012751.1:569661:567979	TIGR01865.1	0.00094	14.3	0.1
GCF_000021705.1	NC_012751.1	1133136	1134848	lcl|ORF137_NC_012751.1:1133136:1134848	TIGR01865.1	0.00094	14.3	0.1
GCF_000021705.1	NC_012751.1	1772185	1773897	lcl|ORF507_NC_012751.1:1772185:1773897	TIGR01865.1	0.00094	14.3	0.1
GCF_000021705.1	NC_012751.1	722680	720998	lcl|ORF1030_NC_012751.1:722680:720998	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	2089687	2091369	lcl|ORF551_NC_012751.1:2089687:2091369	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	1156206	1157888	lcl|ORF139_NC_012751.1:1156206:1157888	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	358495	356813	lcl|ORF1070_NC_012751.1:358495:356813	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	1827018	1825336	lcl|ORF1200_NC_012751.1:1827018:1825336	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	1073874	1075556	lcl|ORF134_NC_012751.1:1073874:1075556	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	792693	791011	lcl|ORF1350_NC_012751.1:792693:791011	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	719115	717433	lcl|ORF1360_NC_012751.1:719115:717433	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	539928	538246	lcl|ORF1385_NC_012751.1:539928:538246	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	302236	303918	lcl|ORF297_NC_012751.1:302236:303918	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	445114	446796	lcl|ORF313_NC_012751.1:445114:446796	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	610234	611916	lcl|ORF332_NC_012751.1:610234:611916	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	1273735	1275417	lcl|ORF439_NC_012751.1:1273735:1275417	TIGR01865.1	0.001	14.2	0.1
GCF_000021705.1	NC_012751.1	1847365	1849047	lcl|ORF516_NC_012751.1:1847365:1849047	TIGR01865.1	0.001	14.2	0.1
